Z,symbol,basis_level,external_E_over_h_PHz,mean_envelope_pm,rms_envelope_pm,r90_pm,relaxed_removal_PHz,relaxed_static_chi,frozen_static_chi,basis_chi_difference_percent,spin_squared,orbital_L_squared,specified_2Ms,SCF_gradient,direct_integral_energy_difference_Estar
1,H,3,-3.2898739323159183,79.37609525241056,91.65707701598338,140.81513371480628,3.2898739323159183,4.497711089145721,4.497711089145721,0.19663352235705922,0.75,4.077972506729713e-24,1,3.8291090070083153e-14,1.021405182655144e-14
2,He,3,-18.829494791780306,49.0685579798061,57.60219973733163,89.37868954211994,5.66954845200336,1.3210010628996953,0.9964486134433,-0.010327348576921747,-1.3322676295501878e-15,8.670485114793256e-24,0,1.5007284319059163e-07,4.612679127546926e-10
3,Li,3,-48.9095655211335,88.52521550212066,131.84290173210906,238.78502499774368,1.2919162551894212,169.89327078019892,52.24505502954813,-0.06276395080484498,0.7500156988398701,2.576415896491754e-22,1,3.7253837483604963e-07,1.6492673893253595e-10
4,Be,3,-95.90238190263037,81.07017010368064,110.10262247191069,186.69570039746796,1.9450480633570593,45.59834099270637,30.54199339078474,-0.08476252037624699,-8.881784197001252e-16,2.2681895265228997e-22,0,8.939029338206707e-08,7.862599460395359e-10
5,B,3,-161.464354218577,71.95009343182147,93.98289562813784,154.2867012067451,1.943894116054889,22.122679520981293,14.242587551164005,0.15800434305757172,0.7612244051898107,2.0301623972800242,1,8.104320242118e-07,1.2816663286230323e-09
6,C,3,-248.11090075650526,62.93354212032275,80.11898679280102,129.30858455350022,2.6106978749753775,11.939018106685568,8.121400232183772,0.07155379322367761,2.010361812415038,2.0181029177109338,2,1.7753605375913312e-07,-1.4357368627315736e-09
7,N,3,-358.1571437833367,55.52493409852225,69.49553370720768,110.9485442770958,3.358469280799283,7.160999019841629,5.139653303819071,-0.07049423862431903,3.757853457548589,6.217248937900877e-15,3,4.874322750738276e-07,-3.2831195539984037e-09
8,O,3,-492.6267500244904,50.36393235369915,62.633747629973314,99.15660918219518,2.9027751066974146,4.776592536385409,3.6394848162902296,-0.13205190947831458,2.009167130765784,2.0154085741908583,2,4.7263557558114493e-07,-2.609340299386531e-09
9,F,3,-654.6983085460047,45.72278501912623,56.44869040610853,88.95723297468068,3.7805650537768285,3.2945049734823613,2.6368979056644495,0.3104355254713642,0.7540384308689214,2.0120345660476957,1,4.7571049992230943e-07,2.707338353502564e-09
10,Ne,3,-846.7033087511518,41.73818685778794,51.217207305417034,80.42321963901325,4.750158468026853,2.3780081730040368,1.9758426517460137,0.9673776348886554,-4.440892098500626e-15,-2.4868995751603507e-14,0,2.5409570586838926e-07,1.1850801229229546e-08
11,Na,3,-1066.3572595571377,52.10841191293215,83.03450562677887,100.88527566939702,1.1989276083699163,189.02217460630797,64.86705467688937,0.3172042740064107,0.7500579773781979,-6.217248937900877e-14,1,1.8019025215129238e-07,1.5514018514295458e-08
12,Mg,3,-1315.4222944549044,53.98735439785107,83.02098659119918,144.85074730489666,1.5995207175524,81.15683316547249,54.95318202238358,0.012196854367574339,0.0,2.842170943040401e-14,0,8.924467886388056e-08,-2.0089402141820756e-08
13,Al,3,-1594.3724281531354,55.662880467674285,84.51230111430051,150.17573848456948,1.353468689879985,60.82325480608816,39.401328700197375,-0.31917075354405133,0.76987502893844,2.060833371556326,1,8.932527208794723e-08,-6.417403142222611e-08
14,Si,3,-1904.5774561575824,54.62171689707328,80.14540633931828,142.43010721949992,1.8441441252021815,38.333886295184165,28.026876763487067,-0.02459994969115087,2.0149519147649935,2.0449071129549967,2,5.399242769114612e-07,-6.725900902893045e-08
15,P,3,-2247.2066578446525,52.75634171102671,75.12083403265399,132.07059273095064,2.3931418709147434,25.38771697299723,20.60885931985096,0.0446204254944238,3.7506444355670183,-2.1316282072803006e-14,3,6.88565313327351e-08,-1.0983313813994755e-07
16,S,3,-2622.6465569813954,51.11666231920409,71.39799181901016,123.4584165974947,2.226504329932912,19.058591902921652,16.039012350231918,0.2152624087700561,2.0121046673554073,2.043943135870922,2,3.0631056980751536e-07,-5.245335046311084e-07
17,Cl,3,-3032.5982709011005,49.17246956879688,67.39916249389708,115.06885036448428,2.8397790556120146,14.161605665457296,12.598366868675058,0.7690389601812342,0.7594486057490233,2.0349009069561603,1,1.8847959459843054e-07,-6.72203952944983e-07
18,Ar,3,-3478.2346065122806,47.173422645630964,63.581945800449596,107.33817415183871,3.5160635597648207,10.701385831872502,10.053095505315456,1.15945935546522,-7.105427357601002e-15,-2.842170943040401e-14,0,4.790310902661036e-08,-4.473725994103006e-07
19,K,3,-3957.4508901149557,54.030853406189784,86.61175243486404,110.62844807950087,0.9726464708926948,407.99118261412065,128.5093503328371,0.21547126095329272,0.7502062856314904,0.0,1,1.5536882942759383e-07,-2.0432185010577086e-07
20,Ca,3,-4471.801913366568,56.050450258415935,88.71609680662665,129.18272540429118,1.2419309582718518,182.74704343419037,122.8561514831127,0.06639648844808388,-1.9539925233402755e-14,-1.0658141036401503e-14,0,8.952513368692392e-08,-4.809128313354449e-07
21,Sc,3,-5022.261060665292,53.93545709531091,83.86685381984249,124.90426812049571,1.3028817781864674,140.57043009383642,102.1883105198135,0.5046774991003034,0.7614745863083634,6.053027755107703,1,1.6466987091605137e-07,-4.977667913408368e-07
22,Ti,3,-5610.837973642809,51.79857507826174,79.63043344390789,118.01097843909301,1.346692769923302,630.46579039968,88.57751596599313,88.9379317323945,2.0104158842794426,10.043692350633194,2,9.515534290561377e-07,-4.572059424390318e-07
23,V,3,-6238.603034150695,49.74205385606096,75.84596652983365,111.0441939623579,1.3840112858834308,126.14648984072369,78.38804934269537,0.4492584272790312,3.762949381263642,12.0336876422388,3,1.4922237272082134e-07,-3.559446213330375e-07
24,Cr,3,-6906.542285051712,45.059730123731555,66.03066628193072,94.6620274848393,1.4517560459098722,107.02879868315756,46.85355690474884,0.17716038529747014,12.000079201278426,-2.1316282072803006e-14,6,6.662534340695461e-07,-1.1719453141267877e-07
25,Mn,3,-7615.395842926938,45.99206795668903,69.28992899596463,99.02852481537428,1.4558886720102264,101.41981398721964,63.23027207833319,0.17530610255593881,8.771734779656454,2.1316282072803006e-14,5,4.065721454813825e-07,-7.715698302490637e-09
26,Fe,3,-8365.27569686909,44.343869432008475,66.2697944798989,94.84177821515482,1.554701567294743,82.04985920927723,55.49247840121291,0.24296292828847044,6.016778304916949,6.018998654744287,4,3.716568801268874e-07,1.4719012142450083e-07
27,Co,3,-9158.283664078459,42.77787250331653,63.54332889929118,90.61898668921162,1.6424581468944615,70.20880007977689,49.55921323568708,0.3034470179232862,3.7607006431481906,10.026450708398762,3,3.2505530300116635e-07,2.466342721163528e-07
28,Ni,3,-9995.483740478712,41.30079093460337,61.0619772903877,86.57540233903504,1.72313247791504,62.13385431517972,44.80258786405464,0.3278146737749621,2.005542456263271,12.026382168339374,2,3.5479259280955015e-07,2.4521068553440273e-07
29,Cu,3,-10877.527322685668,38.29206266771391,55.33126578345519,77.17685102647052,1.591296083870921,71.71125791849016,32.88418995567469,0.26615354245509426,0.7521925709028068,2.842170943040401e-14,1,1.1795192684897717e-06,1.3858971215086058e-07
30,Zn,3,-11806.082434252727,38.61410167764598,56.66437343432306,79.42706008442617,1.880510758544635,50.81841546826425,37.310403248677055,0.31356071986552436,-1.7763568394002505e-14,-1.4210854715202004e-14,0,1.3387372824770302e-06,1.0221265256404877e-07
31,Ga,3,-12779.339538855285,39.72349373534232,60.35689676147366,85.42510781744086,1.3379354817826365,57.47752729849248,36.74531286487279,0.048453120508384906,0.7625840356742533,2.038189193672153,1,4.145947892447343e-07,3.0035380405024625e-08
32,Ge,3,-13798.450009534594,39.81149591925108,59.97913494188838,93.18388155209247,1.7897936457884904,41.26067918629449,29.745949984831224,-0.07551454791291379,2.0107298088369205,2.0305279736392094,2,6.576961812931308e-07,-1.3860276339983102e-06
33,As,3,-14864.179095425327,39.535982162001005,58.72727053488395,97.66588226220529,2.2754511745866637,30.302324194854794,24.291960402891576,-0.34078867419778947,3.751192860258506,-2.842170943040401e-14,3,3.0179545045941974e-07,-1.6349436009477358e-06
34,Se,3,-15976.562484962416,39.33133370692697,57.95737182956923,99.12931750973195,2.064794397115352,25.15955182108804,21.255944504651836,-0.2273519892221021,2.010981759707434,2.0437407536370813,2,9.102112083113565e-07,-1.2264786164450925e-06
35,Br,3,-17136.93947099323,38.89622402110054,56.64517079030893,98.41285514454353,2.5904069563799177,20.269193265249726,18.2321694109559,0.17785275870121353,0.7591485352582374,2.0372053617702193,1,6.263737581072942e-07,-1.2824366422137246e-06
36,Kr,3,-18346.112541713093,38.345492105121195,55.16134806795806,96.524575503617,3.1524655459273334,16.432321680497676,15.694317969719235,0.48245444427224005,0.0,-5.684341886080802e-14,0,6.154437800972506e-07,-2.1800892682222184e-06
37,Rb,3,-19602.060846311666,42.27092310258447,71.06277444281977,96.86898871476645,0.9195294729678636,481.85560611095235,154.12734129832828,0.06238474237192371,0.7503831632054556,-7.105427357601002e-14,1,9.537082802947874e-07,-2.448810846544802e-06
38,Sr,3,-20906.20137662475,43.89909629446129,74.01715537662882,99.065224584048,1.1470141882904832,232.6913026460742,156.94894226306408,0.002213118601157582,-1.4210854715202004e-14,0.0,0,5.468877232045566e-07,-4.507345238380367e-06
39,Y,3,-22259.07304482016,43.44698817118255,71.49129842936341,100.3693515319698,1.2298430184991007,,127.03946299429695,,0.8625685521689626,6.386806081263487,1,3.140536651302067e-07,-4.469814030017005e-06
40,Zr,3,-23662.266584393506,42.850328510915666,69.32906412322701,100.14960761556551,1.2665197640478227,,110.36954604733478,,2.0723276084776927,10.172848569211652,2,2.818979182171277e-07,-4.80286007586983e-06
41,Nb,3,-25116.81221775112,40.73041244656072,62.98535793173236,96.28303410400852,1.4480878642609214,132.04832900226498,65.99961058834403,0.248777322192395,8.75549733546093,6.0296619503268545,5,1.0665215771921919e-06,-6.9094207901798654e-06
42,Mo,3,-26623.358946053402,39.91879131578442,60.785353673054416,94.02922320995462,1.5108220602624913,108.26605084249098,56.21562311754743,0.3248412149207347,12.003852500333274,5.684341886080802e-14,6,9.9146562837769e-07,-8.978602181741735e-06
43,Tc,3,-28181.870043590927,40.7024929965179,63.585389823182325,94.13124472275435,1.3397664440977375,137.1637804055101,81.8441692721867,0.4625972582002813,8.792397644043287,8.526512829121202e-14,5,3.2302832176890983e-07,-4.666008862841409e-06
