Z,symbol,name,A,depth,pattern,ratio,depth_fraction
1,H,Hydrogen,1,0,1,0,0
2,He,Helium,4,2,2,1,0.5
3,Li,Lithium,7,4,3,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0.57142857142857142857142857142857142857142857142857142857142857142857142857142857
4,Be,Beryllium,9,5,4,1.25,0.55555555555555555555555555555555555555555555555555555555555555555555555555555556
5,B,Boron,11,6,5,1.2,0.54545454545454545454545454545454545454545454545454545454545454545454545454545455
6,C,Carbon,12,6,6,1,0.5
7,N,Nitrogen,14,7,7,1,0.5
8,O,Oxygen,16,8,8,1,0.5
9,F,Fluorine,19,10,9,1.1111111111111111111111111111111111111111111111111111111111111111111111111111111,0.52631578947368421052631578947368421052631578947368421052631578947368421052631579
10,Ne,Neon,20,10,10,1,0.5
11,Na,Sodium,23,12,11,1.0909090909090909090909090909090909090909090909090909090909090909090909090909091,0.52173913043478260869565217391304347826086956521739130434782608695652173913043478
12,Mg,Magnesium,24,12,12,1,0.5
13,Al,Aluminium,27,14,13,1.0769230769230769230769230769230769230769230769230769230769230769230769230769231,0.51851851851851851851851851851851851851851851851851851851851851851851851851851852
14,Si,Silicon,28,14,14,1,0.5
15,P,Phosphorus,31,16,15,1.0666666666666666666666666666666666666666666666666666666666666666666666666666667,0.51612903225806451612903225806451612903225806451612903225806451612903225806451613
16,S,Sulfur,32,16,16,1,0.5
17,Cl,Chlorine,35,18,17,1.0588235294117647058823529411764705882352941176470588235294117647058823529411765,0.51428571428571428571428571428571428571428571428571428571428571428571428571428571
18,Ar,Argon,40,22,18,1.2222222222222222222222222222222222222222222222222222222222222222222222222222222,0.55
19,K,Potassium,39,20,19,1.0526315789473684210526315789473684210526315789473684210526315789473684210526316,0.51282051282051282051282051282051282051282051282051282051282051282051282051282051
20,Ca,Calcium,40,20,20,1,0.5
21,Sc,Scandium,45,24,21,1.1428571428571428571428571428571428571428571428571428571428571428571428571428571,0.53333333333333333333333333333333333333333333333333333333333333333333333333333333
22,Ti,Titanium,48,26,22,1.1818181818181818181818181818181818181818181818181818181818181818181818181818182,0.54166666666666666666666666666666666666666666666666666666666666666666666666666667
23,V,Vanadium,51,28,23,1.2173913043478260869565217391304347826086956521739130434782608695652173913043478,0.54901960784313725490196078431372549019607843137254901960784313725490196078431373
24,Cr,Chromium,52,28,24,1.1666666666666666666666666666666666666666666666666666666666666666666666666666667,0.53846153846153846153846153846153846153846153846153846153846153846153846153846154
25,Mn,Manganese,55,30,25,1.2,0.54545454545454545454545454545454545454545454545454545454545454545454545454545455
26,Fe,Iron,56,30,26,1.1538461538461538461538461538461538461538461538461538461538461538461538461538462,0.53571428571428571428571428571428571428571428571428571428571428571428571428571429
27,Co,Cobalt,59,32,27,1.1851851851851851851851851851851851851851851851851851851851851851851851851851852,0.54237288135593220338983050847457627118644067796610169491525423728813559322033898
28,Ni,Nickel,58,30,28,1.0714285714285714285714285714285714285714285714285714285714285714285714285714286,0.51724137931034482758620689655172413793103448275862068965517241379310344827586207
29,Cu,Copper,63,34,29,1.1724137931034482758620689655172413793103448275862068965517241379310344827586207,0.53968253968253968253968253968253968253968253968253968253968253968253968253968254
30,Zn,Zinc,65,35,30,1.1666666666666666666666666666666666666666666666666666666666666666666666666666667,0.53846153846153846153846153846153846153846153846153846153846153846153846153846154
